term_en,term_vi,domain,subdomain,parent_term_en,synonyms_en,definition_en,definition_vi
quantization,lượng tử hóa,nlp_ai,llm,nlp,,A term in llm within nlp ai.,Thuật ngữ thuộc nhóm llm trong lĩnh vực nlp ai.
context window,cửa sổ ngữ cảnh,nlp_ai,llm,nlp,,A term in llm within nlp ai.,Thuật ngữ thuộc nhóm llm trong lĩnh vực nlp ai.
tool use,sử dụng công cụ,nlp_ai,llm,nlp,,A term in llm within nlp ai.,Thuật ngữ thuộc nhóm llm trong lĩnh vực nlp ai.
agent,tác tử,nlp_ai,llm,nlp,,A term in llm within nlp ai.,Thuật ngữ thuộc nhóm llm trong lĩnh vực nlp ai.
function calling,gọi hàm,nlp_ai,llm,nlp,,A term in llm within nlp ai.,Thuật ngữ thuộc nhóm llm trong lĩnh vực nlp ai.
retrieval-augmented generation,sinh tăng cường truy xuất,nlp_ai,rag,nlp,RAG,A term in rag within nlp ai.,Thuật ngữ thuộc nhóm rag trong lĩnh vực nlp ai.
retriever,bộ truy xuất,nlp_ai,rag,nlp,,A term in rag within nlp ai.,Thuật ngữ thuộc nhóm rag trong lĩnh vực nlp ai.
generator,bộ sinh,nlp_ai,rag,nlp,,A term in rag within nlp ai.,Thuật ngữ thuộc nhóm rag trong lĩnh vực nlp ai.
knowledge graph,đồ thị tri thức,nlp_ai,rag,nlp,,A term in rag within nlp ai.,Thuật ngữ thuộc nhóm rag trong lĩnh vực nlp ai.
vector database,cơ sở dữ liệu vector,nlp_ai,rag,nlp,,A term in rag within nlp ai.,Thuật ngữ thuộc nhóm rag trong lĩnh vực nlp ai.
embedding model,mô hình nhúng,nlp_ai,rag,nlp,,A term in rag within nlp ai.,Thuật ngữ thuộc nhóm rag trong lĩnh vực nlp ai.
passage retrieval,truy xuất đoạn văn,nlp_ai,rag,nlp,,A term in rag within nlp ai.,Thuật ngữ thuộc nhóm rag trong lĩnh vực nlp ai.
chunking,chia đoạn,nlp_ai,rag,nlp,,A term in rag within nlp ai.,Thuật ngữ thuộc nhóm rag trong lĩnh vực nlp ai.
context compression,nén ngữ cảnh,nlp_ai,rag,nlp,,A term in rag within nlp ai.,Thuật ngữ thuộc nhóm rag trong lĩnh vực nlp ai.
query rewriting,viết lại truy vấn,nlp_ai,rag,nlp,,A term in rag within nlp ai.,Thuật ngữ thuộc nhóm rag trong lĩnh vực nlp ai.
hybrid search,tìm kiếm lai,nlp_ai,rag,nlp,,A term in rag within nlp ai.,Thuật ngữ thuộc nhóm rag trong lĩnh vực nlp ai.
metadata filtering,lọc theo siêu dữ liệu,nlp_ai,rag,nlp,,A term in rag within nlp ai.,Thuật ngữ thuộc nhóm rag trong lĩnh vực nlp ai.
semantic cache,bộ nhớ đệm ngữ nghĩa,nlp_ai,rag,nlp,,A term in rag within nlp ai.,Thuật ngữ thuộc nhóm rag trong lĩnh vực nlp ai.
reranking,xếp hạng lại,nlp_ai,rag,nlp,,A term in rag within nlp ai.,Thuật ngữ thuộc nhóm rag trong lĩnh vực nlp ai.
citation grounding,neo dẫn chứng,nlp_ai,rag,nlp,,A term in rag within nlp ai.,Thuật ngữ thuộc nhóm rag trong lĩnh vực nlp ai.
grounded generation,sinh có căn cứ,nlp_ai,rag,nlp,,A term in rag within nlp ai.,Thuật ngữ thuộc nhóm rag trong lĩnh vực nlp ai.
knowledge base,cơ sở tri thức,nlp_ai,rag,nlp,,A term in rag within nlp ai.,Thuật ngữ thuộc nhóm rag trong lĩnh vực nlp ai.
termbase,cơ sở thuật ngữ,nlp_ai,rag,nlp,,A term in rag within nlp ai.,Thuật ngữ thuộc nhóm rag trong lĩnh vực nlp ai.
entity linking,liên kết thực thể,nlp_ai,rag,nlp,,A term in rag within nlp ai.,Thuật ngữ thuộc nhóm rag trong lĩnh vực nlp ai.
graph traversal,duyệt đồ thị,nlp_ai,rag,nlp,,A term in rag within nlp ai.,Thuật ngữ thuộc nhóm rag trong lĩnh vực nlp ai.
BLEU score,điểm BLEU,nlp_ai,evaluation,nlp,BLEU,A term in evaluation within nlp ai.,Thuật ngữ thuộc nhóm evaluation trong lĩnh vực nlp ai.
ROUGE score,điểm ROUGE,nlp_ai,evaluation,nlp,ROUGE,A term in evaluation within nlp ai.,Thuật ngữ thuộc nhóm evaluation trong lĩnh vực nlp ai.
METEOR,METEOR,nlp_ai,evaluation,nlp,,A term in evaluation within nlp ai.,Thuật ngữ thuộc nhóm evaluation trong lĩnh vực nlp ai.
BERTScore,BERTScore,nlp_ai,evaluation,nlp,,A term in evaluation within nlp ai.,Thuật ngữ thuộc nhóm evaluation trong lĩnh vực nlp ai.
COMET,COMET,nlp_ai,evaluation,nlp,,A term in evaluation within nlp ai.,Thuật ngữ thuộc nhóm evaluation trong lĩnh vực nlp ai.
perplexity,độ hỗn độn,nlp_ai,evaluation,nlp,,A term in evaluation within nlp ai.,Thuật ngữ thuộc nhóm evaluation trong lĩnh vực nlp ai.
exact match,khớp chính xác,nlp_ai,evaluation,nlp,,A term in evaluation within nlp ai.,Thuật ngữ thuộc nhóm evaluation trong lĩnh vực nlp ai.
F1 score,điểm F1,nlp_ai,evaluation,nlp,,A term in evaluation within nlp ai.,Thuật ngữ thuộc nhóm evaluation trong lĩnh vực nlp ai.
precision,độ chính xác,nlp_ai,evaluation,nlp,,A term in evaluation within nlp ai.,Thuật ngữ thuộc nhóm evaluation trong lĩnh vực nlp ai.
recall,độ bao phủ,nlp_ai,evaluation,nlp,,A term in evaluation within nlp ai.,Thuật ngữ thuộc nhóm evaluation trong lĩnh vực nlp ai.
accuracy,độ chính xác tổng thể,nlp_ai,evaluation,nlp,,A term in evaluation within nlp ai.,Thuật ngữ thuộc nhóm evaluation trong lĩnh vực nlp ai.
human evaluation,đánh giá thủ công,nlp_ai,evaluation,nlp,,A term in evaluation within nlp ai.,Thuật ngữ thuộc nhóm evaluation trong lĩnh vực nlp ai.
fluency,độ trôi chảy,nlp_ai,evaluation,nlp,,A term in evaluation within nlp ai.,Thuật ngữ thuộc nhóm evaluation trong lĩnh vực nlp ai.
adequacy,độ đầy đủ nội dung,nlp_ai,evaluation,nlp,,A term in evaluation within nlp ai.,Thuật ngữ thuộc nhóm evaluation trong lĩnh vực nlp ai.
faithfulness,độ trung thực,nlp_ai,evaluation,nlp,,A term in evaluation within nlp ai.,Thuật ngữ thuộc nhóm evaluation trong lĩnh vực nlp ai.
robustness,độ vững,nlp_ai,evaluation,nlp,,A term in evaluation within nlp ai.,Thuật ngữ thuộc nhóm evaluation trong lĩnh vực nlp ai.
bias evaluation,đánh giá thiên lệch,nlp_ai,evaluation,nlp,,A term in evaluation within nlp ai.,Thuật ngữ thuộc nhóm evaluation trong lĩnh vực nlp ai.
toxicity detection,phát hiện độc hại,nlp_ai,evaluation,nlp,,A term in evaluation within nlp ai.,Thuật ngữ thuộc nhóm evaluation trong lĩnh vực nlp ai.
benchmark,bộ chuẩn đánh giá,nlp_ai,evaluation,nlp,,A term in evaluation within nlp ai.,Thuật ngữ thuộc nhóm evaluation trong lĩnh vực nlp ai.
leaderboard,bảng xếp hạng,nlp_ai,evaluation,nlp,,A term in evaluation within nlp ai.,Thuật ngữ thuộc nhóm evaluation trong lĩnh vực nlp ai.
automatic speech recognition,nhận dạng tiếng nói tự động,nlp_ai,applications,nlp,ASR,A term in applications within nlp ai.,Thuật ngữ thuộc nhóm applications trong lĩnh vực nlp ai.
speech-to-text,chuyển giọng nói thành văn bản,nlp_ai,applications,nlp,STT,A term in applications within nlp ai.,Thuật ngữ thuộc nhóm applications trong lĩnh vực nlp ai.
text-to-speech,chuyển văn bản thành giọng nói,nlp_ai,applications,nlp,TTS,A term in applications within nlp ai.,Thuật ngữ thuộc nhóm applications trong lĩnh vực nlp ai.
speech translation,dịch tiếng nói,nlp_ai,applications,nlp,,A term in applications within nlp ai.,Thuật ngữ thuộc nhóm applications trong lĩnh vực nlp ai.
multimodal model,mô hình đa phương thức,nlp_ai,applications,nlp,,A term in applications within nlp ai.,Thuật ngữ thuộc nhóm applications trong lĩnh vực nlp ai.
vision-language model,mô hình thị giác-ngôn ngữ,nlp_ai,applications,nlp,,A term in applications within nlp ai.,Thuật ngữ thuộc nhóm applications trong lĩnh vực nlp ai.
image captioning,mô tả ảnh,nlp_ai,applications,nlp,,A term in applications within nlp ai.,Thuật ngữ thuộc nhóm applications trong lĩnh vực nlp ai.
optical character recognition,nhận dạng ký tự quang học,nlp_ai,applications,nlp,OCR,A term in applications within nlp ai.,Thuật ngữ thuộc nhóm applications trong lĩnh vực nlp ai.
dialogue system,hệ thống hội thoại,nlp_ai,applications,nlp,,A term in applications within nlp ai.,Thuật ngữ thuộc nhóm applications trong lĩnh vực nlp ai.
chatbot,chatbot,nlp_ai,applications,nlp,,A term in applications within nlp ai.,Thuật ngữ thuộc nhóm applications trong lĩnh vực nlp ai.
intent classification,phân loại ý định,nlp_ai,applications,nlp,,A term in applications within nlp ai.,Thuật ngữ thuộc nhóm applications trong lĩnh vực nlp ai.
slot filling,điền slot,nlp_ai,applications,nlp,,A term in applications within nlp ai.,Thuật ngữ thuộc nhóm applications trong lĩnh vực nlp ai.
question answering,trả lời câu hỏi,nlp_ai,applications,nlp,QA,A term in applications within nlp ai.,Thuật ngữ thuộc nhóm applications trong lĩnh vực nlp ai.
summarization,tóm tắt,nlp_ai,applications,nlp,,A term in applications within nlp ai.,Thuật ngữ thuộc nhóm applications trong lĩnh vực nlp ai.
information extraction,trích xuất thông tin,nlp_ai,applications,nlp,,A term in applications within nlp ai.,Thuật ngữ thuộc nhóm applications trong lĩnh vực nlp ai.
text classification,phân loại văn bản,nlp_ai,applications,nlp,,A term in applications within nlp ai.,Thuật ngữ thuộc nhóm applications trong lĩnh vực nlp ai.
sentiment analysis,phân tích cảm xúc,nlp_ai,applications,nlp,,A term in applications within nlp ai.,Thuật ngữ thuộc nhóm applications trong lĩnh vực nlp ai.
topic modeling,mô hình chủ đề,nlp_ai,applications,nlp,,A term in applications within nlp ai.,Thuật ngữ thuộc nhóm applications trong lĩnh vực nlp ai.
data augmentation,tăng cường dữ liệu,nlp_ai,applications,nlp,,A term in applications within nlp ai.,Thuật ngữ thuộc nhóm applications trong lĩnh vực nlp ai.
active learning,học chủ động,nlp_ai,applications,nlp,,A term in applications within nlp ai.,Thuật ngữ thuộc nhóm applications trong lĩnh vực nlp ai.
