term_en,term_vi,domain,subdomain,parent_term_en,synonyms_en,definition_en,definition_vi
lipid,lipid,biology,molecular_biology,biology,,A term in molecular biology within biology.,Thuật ngữ thuộc nhóm molecular biology trong lĩnh vực biology.
carbohydrate,carbohydrate,biology,molecular_biology,biology,,A term in molecular biology within biology.,Thuật ngữ thuộc nhóm molecular biology trong lĩnh vực biology.
nucleotide,nucleotide,biology,molecular_biology,biology,,A term in molecular biology within biology.,Thuật ngữ thuộc nhóm molecular biology trong lĩnh vực biology.
protein folding,gấp cuộn protein,biology,molecular_biology,biology,,A term in molecular biology within biology.,Thuật ngữ thuộc nhóm molecular biology trong lĩnh vực biology.
signal peptide,peptide tín hiệu,biology,molecular_biology,biology,,A term in molecular biology within biology.,Thuật ngữ thuộc nhóm molecular biology trong lĩnh vực biology.
promoter,vùng khởi động,biology,molecular_biology,biology,,A term in molecular biology within biology.,Thuật ngữ thuộc nhóm molecular biology trong lĩnh vực biology.
operon,operon,biology,molecular_biology,biology,,A term in molecular biology within biology.,Thuật ngữ thuộc nhóm molecular biology trong lĩnh vực biology.
bacterium,vi khuẩn,biology,microbiology,biology,,A term in microbiology within biology.,Thuật ngữ thuộc nhóm microbiology trong lĩnh vực biology.
virus,virus,biology,microbiology,biology,,A term in microbiology within biology.,Thuật ngữ thuộc nhóm microbiology trong lĩnh vực biology.
fungus,nấm,biology,microbiology,biology,,A term in microbiology within biology.,Thuật ngữ thuộc nhóm microbiology trong lĩnh vực biology.
archaea,cổ khuẩn,biology,microbiology,biology,,A term in microbiology within biology.,Thuật ngữ thuộc nhóm microbiology trong lĩnh vực biology.
microbiome,hệ vi sinh vật,biology,microbiology,biology,,A term in microbiology within biology.,Thuật ngữ thuộc nhóm microbiology trong lĩnh vực biology.
pathogen,mầm bệnh,biology,microbiology,biology,,A term in microbiology within biology.,Thuật ngữ thuộc nhóm microbiology trong lĩnh vực biology.
host,vật chủ,biology,microbiology,biology,,A term in microbiology within biology.,Thuật ngữ thuộc nhóm microbiology trong lĩnh vực biology.
infection,nhiễm trùng,biology,microbiology,biology,,A term in microbiology within biology.,Thuật ngữ thuộc nhóm microbiology trong lĩnh vực biology.
antibiotic,kháng sinh,biology,microbiology,biology,,A term in microbiology within biology.,Thuật ngữ thuộc nhóm microbiology trong lĩnh vực biology.
antibiotic resistance,kháng kháng sinh,biology,microbiology,biology,,A term in microbiology within biology.,Thuật ngữ thuộc nhóm microbiology trong lĩnh vực biology.
plasmid,plasmid,biology,microbiology,biology,,A term in microbiology within biology.,Thuật ngữ thuộc nhóm microbiology trong lĩnh vực biology.
biofilm,màng sinh học,biology,microbiology,biology,,A term in microbiology within biology.,Thuật ngữ thuộc nhóm microbiology trong lĩnh vực biology.
spore,bào tử,biology,microbiology,biology,,A term in microbiology within biology.,Thuật ngữ thuộc nhóm microbiology trong lĩnh vực biology.
vaccination,tiêm chủng,biology,microbiology,biology,,A term in microbiology within biology.,Thuật ngữ thuộc nhóm microbiology trong lĩnh vực biology.
sterilization,tiệt trùng,biology,microbiology,biology,,A term in microbiology within biology.,Thuật ngữ thuộc nhóm microbiology trong lĩnh vực biology.
culture medium,môi trường nuôi cấy,biology,microbiology,biology,,A term in microbiology within biology.,Thuật ngữ thuộc nhóm microbiology trong lĩnh vực biology.
colony,khuẩn lạc,biology,microbiology,biology,,A term in microbiology within biology.,Thuật ngữ thuộc nhóm microbiology trong lĩnh vực biology.
incubation,ủ nuôi,biology,microbiology,biology,,A term in microbiology within biology.,Thuật ngữ thuộc nhóm microbiology trong lĩnh vực biology.
immune system,hệ miễn dịch,biology,immunology,biology,,A term in immunology within biology.,Thuật ngữ thuộc nhóm immunology trong lĩnh vực biology.
antigen,kháng nguyên,biology,immunology,biology,,A term in immunology within biology.,Thuật ngữ thuộc nhóm immunology trong lĩnh vực biology.
antibody,kháng thể,biology,immunology,biology,,A term in immunology within biology.,Thuật ngữ thuộc nhóm immunology trong lĩnh vực biology.
innate immunity,miễn dịch bẩm sinh,biology,immunology,biology,,A term in immunology within biology.,Thuật ngữ thuộc nhóm immunology trong lĩnh vực biology.
adaptive immunity,miễn dịch thích nghi,biology,immunology,biology,,A term in immunology within biology.,Thuật ngữ thuộc nhóm immunology trong lĩnh vực biology.
T cell,tế bào T,biology,immunology,biology,T lymphocyte,A term in immunology within biology.,Thuật ngữ thuộc nhóm immunology trong lĩnh vực biology.
B cell,tế bào B,biology,immunology,biology,B lymphocyte,A term in immunology within biology.,Thuật ngữ thuộc nhóm immunology trong lĩnh vực biology.
macrophage,đại thực bào,biology,immunology,biology,,A term in immunology within biology.,Thuật ngữ thuộc nhóm immunology trong lĩnh vực biology.
cytokine,cytokine,biology,immunology,biology,,A term in immunology within biology.,Thuật ngữ thuộc nhóm immunology trong lĩnh vực biology.
inflammation,viêm,biology,immunology,biology,,A term in immunology within biology.,Thuật ngữ thuộc nhóm immunology trong lĩnh vực biology.
vaccine,vắc xin,biology,immunology,biology,,A term in immunology within biology.,Thuật ngữ thuộc nhóm immunology trong lĩnh vực biology.
autoimmune disease,bệnh tự miễn,biology,immunology,biology,,A term in immunology within biology.,Thuật ngữ thuộc nhóm immunology trong lĩnh vực biology.
immunotherapy,liệu pháp miễn dịch,biology,immunology,biology,,A term in immunology within biology.,Thuật ngữ thuộc nhóm immunology trong lĩnh vực biology.
lymphocyte,bạch huyết cầu,biology,immunology,biology,,A term in immunology within biology.,Thuật ngữ thuộc nhóm immunology trong lĩnh vực biology.
complement system,hệ bổ thể,biology,immunology,biology,,A term in immunology within biology.,Thuật ngữ thuộc nhóm immunology trong lĩnh vực biology.
neutralizing antibody,kháng thể trung hòa,biology,immunology,biology,,A term in immunology within biology.,Thuật ngữ thuộc nhóm immunology trong lĩnh vực biology.
immune response,đáp ứng miễn dịch,biology,immunology,biology,,A term in immunology within biology.,Thuật ngữ thuộc nhóm immunology trong lĩnh vực biology.
physiology,sinh lý học,biology,physiology,biology,,A term in physiology within biology.,Thuật ngữ thuộc nhóm physiology trong lĩnh vực biology.
homeostasis,hằng định nội môi,biology,physiology,biology,,A term in physiology within biology.,Thuật ngữ thuộc nhóm physiology trong lĩnh vực biology.
tissue,mô,biology,physiology,biology,,A term in physiology within biology.,Thuật ngữ thuộc nhóm physiology trong lĩnh vực biology.
organ,cơ quan,biology,physiology,biology,,A term in physiology within biology.,Thuật ngữ thuộc nhóm physiology trong lĩnh vực biology.
circulatory system,hệ tuần hoàn,biology,physiology,biology,,A term in physiology within biology.,Thuật ngữ thuộc nhóm physiology trong lĩnh vực biology.
respiratory system,hệ hô hấp,biology,physiology,biology,,A term in physiology within biology.,Thuật ngữ thuộc nhóm physiology trong lĩnh vực biology.
digestive system,hệ tiêu hóa,biology,physiology,biology,,A term in physiology within biology.,Thuật ngữ thuộc nhóm physiology trong lĩnh vực biology.
nervous system,hệ thần kinh,biology,physiology,biology,,A term in physiology within biology.,Thuật ngữ thuộc nhóm physiology trong lĩnh vực biology.
endocrine system,hệ nội tiết,biology,physiology,biology,,A term in physiology within biology.,Thuật ngữ thuộc nhóm physiology trong lĩnh vực biology.
hormone,hormone,biology,physiology,biology,,A term in physiology within biology.,Thuật ngữ thuộc nhóm physiology trong lĩnh vực biology.
receptor,thụ thể,biology,physiology,biology,,A term in physiology within biology.,Thuật ngữ thuộc nhóm physiology trong lĩnh vực biology.
osmosis,thẩm thấu,biology,physiology,biology,,A term in physiology within biology.,Thuật ngữ thuộc nhóm physiology trong lĩnh vực biology.
diffusion,khuếch tán,biology,physiology,biology,,A term in physiology within biology.,Thuật ngữ thuộc nhóm physiology trong lĩnh vực biology.
photosynthesis,quang hợp,biology,physiology,biology,,A term in physiology within biology.,Thuật ngữ thuộc nhóm physiology trong lĩnh vực biology.
respiration,hô hấp tế bào,biology,physiology,biology,,A term in physiology within biology.,Thuật ngữ thuộc nhóm physiology trong lĩnh vực biology.
ecosystem,hệ sinh thái,biology,physiology,biology,,A term in physiology within biology.,Thuật ngữ thuộc nhóm physiology trong lĩnh vực biology.
biodiversity,đa dạng sinh học,biology,physiology,biology,,A term in physiology within biology.,Thuật ngữ thuộc nhóm physiology trong lĩnh vực biology.
