term_en,term_vi,domain,subdomain,parent_term_en,synonyms_en,definition_en,definition_vi
energy,năng lượng,physics,mechanics,physics,,A term in mechanics within physics.,Thuật ngữ thuộc nhóm mechanics trong lĩnh vực physics.
kinetic energy,động năng,physics,mechanics,physics,,A term in mechanics within physics.,Thuật ngữ thuộc nhóm mechanics trong lĩnh vực physics.
potential energy,thế năng,physics,mechanics,physics,,A term in mechanics within physics.,Thuật ngữ thuộc nhóm mechanics trong lĩnh vực physics.
electromagnetism,điện từ học,physics,electromagnetism,physics,,A term in electromagnetism within physics.,Thuật ngữ thuộc nhóm electromagnetism trong lĩnh vực physics.
electric charge,điện tích,physics,electromagnetism,physics,,A term in electromagnetism within physics.,Thuật ngữ thuộc nhóm electromagnetism trong lĩnh vực physics.
electric field,điện trường,physics,electromagnetism,physics,,A term in electromagnetism within physics.,Thuật ngữ thuộc nhóm electromagnetism trong lĩnh vực physics.
electric potential,điện thế,physics,electromagnetism,physics,,A term in electromagnetism within physics.,Thuật ngữ thuộc nhóm electromagnetism trong lĩnh vực physics.
voltage,hiệu điện thế,physics,electromagnetism,physics,,A term in electromagnetism within physics.,Thuật ngữ thuộc nhóm electromagnetism trong lĩnh vực physics.
current,dòng điện,physics,electromagnetism,physics,,A term in electromagnetism within physics.,Thuật ngữ thuộc nhóm electromagnetism trong lĩnh vực physics.
resistance,điện trở,physics,electromagnetism,physics,,A term in electromagnetism within physics.,Thuật ngữ thuộc nhóm electromagnetism trong lĩnh vực physics.
capacitance,điện dung,physics,electromagnetism,physics,,A term in electromagnetism within physics.,Thuật ngữ thuộc nhóm electromagnetism trong lĩnh vực physics.
inductance,độ tự cảm,physics,electromagnetism,physics,,A term in electromagnetism within physics.,Thuật ngữ thuộc nhóm electromagnetism trong lĩnh vực physics.
magnetic field,từ trường,physics,electromagnetism,physics,,A term in electromagnetism within physics.,Thuật ngữ thuộc nhóm electromagnetism trong lĩnh vực physics.
Lorentz force,lực Lorentz,physics,electromagnetism,physics,,A term in electromagnetism within physics.,Thuật ngữ thuộc nhóm electromagnetism trong lĩnh vực physics.
electromagnetic wave,sóng điện từ,physics,electromagnetism,physics,EM wave,A term in electromagnetism within physics.,Thuật ngữ thuộc nhóm electromagnetism trong lĩnh vực physics.
Coulomb law,định luật Coulomb,physics,electromagnetism,physics,Coulomb's law,A term in electromagnetism within physics.,Thuật ngữ thuộc nhóm electromagnetism trong lĩnh vực physics.
Ohm law,định luật Ohm,physics,electromagnetism,physics,Ohm's law,A term in electromagnetism within physics.,Thuật ngữ thuộc nhóm electromagnetism trong lĩnh vực physics.
Faraday law,định luật Faraday,physics,electromagnetism,physics,Faraday's law,A term in electromagnetism within physics.,Thuật ngữ thuộc nhóm electromagnetism trong lĩnh vực physics.
Maxwell equations,phương trình Maxwell,physics,electromagnetism,physics,,A term in electromagnetism within physics.,Thuật ngữ thuộc nhóm electromagnetism trong lĩnh vực physics.
circuit,mạch điện,physics,electromagnetism,physics,,A term in electromagnetism within physics.,Thuật ngữ thuộc nhóm electromagnetism trong lĩnh vực physics.
dielectric,điện môi,physics,electromagnetism,physics,,A term in electromagnetism within physics.,Thuật ngữ thuộc nhóm electromagnetism trong lĩnh vực physics.
optics,quang học,physics,optics,physics,,A term in optics within physics.,Thuật ngữ thuộc nhóm optics trong lĩnh vực physics.
light,ánh sáng,physics,optics,physics,,A term in optics within physics.,Thuật ngữ thuộc nhóm optics trong lĩnh vực physics.
reflection,phản xạ,physics,optics,physics,,A term in optics within physics.,Thuật ngữ thuộc nhóm optics trong lĩnh vực physics.
refraction,khúc xạ,physics,optics,physics,,A term in optics within physics.,Thuật ngữ thuộc nhóm optics trong lĩnh vực physics.
refractive index,chiết suất,physics,optics,physics,,A term in optics within physics.,Thuật ngữ thuộc nhóm optics trong lĩnh vực physics.
diffraction,nhiễu xạ,physics,optics,physics,,A term in optics within physics.,Thuật ngữ thuộc nhóm optics trong lĩnh vực physics.
interference,giao thoa,physics,optics,physics,,A term in optics within physics.,Thuật ngữ thuộc nhóm optics trong lĩnh vực physics.
polarization,phân cực,physics,optics,physics,,A term in optics within physics.,Thuật ngữ thuộc nhóm optics trong lĩnh vực physics.
lens,thấu kính,physics,optics,physics,,A term in optics within physics.,Thuật ngữ thuộc nhóm optics trong lĩnh vực physics.
convex lens,thấu kính hội tụ,physics,optics,physics,,A term in optics within physics.,Thuật ngữ thuộc nhóm optics trong lĩnh vực physics.
concave lens,thấu kính phân kỳ,physics,optics,physics,,A term in optics within physics.,Thuật ngữ thuộc nhóm optics trong lĩnh vực physics.
mirror,gương,physics,optics,physics,,A term in optics within physics.,Thuật ngữ thuộc nhóm optics trong lĩnh vực physics.
focal length,tiêu cự,physics,optics,physics,,A term in optics within physics.,Thuật ngữ thuộc nhóm optics trong lĩnh vực physics.
optical fiber,sợi quang,physics,optics,physics,,A term in optics within physics.,Thuật ngữ thuộc nhóm optics trong lĩnh vực physics.
laser,laser,physics,optics,physics,,A term in optics within physics.,Thuật ngữ thuộc nhóm optics trong lĩnh vực physics.
photon,photon,physics,optics,physics,,A term in optics within physics.,Thuật ngữ thuộc nhóm optics trong lĩnh vực physics.
spectroscopy,quang phổ học,physics,optics,physics,,A term in optics within physics.,Thuật ngữ thuộc nhóm optics trong lĩnh vực physics.
wave optics,quang học sóng,physics,optics,physics,,A term in optics within physics.,Thuật ngữ thuộc nhóm optics trong lĩnh vực physics.
thermodynamics,nhiệt động lực học,physics,thermodynamics,physics,,A term in thermodynamics within physics.,Thuật ngữ thuộc nhóm thermodynamics trong lĩnh vực physics.
temperature,nhiệt độ,physics,thermodynamics,physics,,A term in thermodynamics within physics.,Thuật ngữ thuộc nhóm thermodynamics trong lĩnh vực physics.
heat,nhiệt lượng,physics,thermodynamics,physics,,A term in thermodynamics within physics.,Thuật ngữ thuộc nhóm thermodynamics trong lĩnh vực physics.
entropy,entropy,physics,thermodynamics,physics,,A term in thermodynamics within physics.,Thuật ngữ thuộc nhóm thermodynamics trong lĩnh vực physics.
enthalpy,enthalpy,physics,thermodynamics,physics,,A term in thermodynamics within physics.,Thuật ngữ thuộc nhóm thermodynamics trong lĩnh vực physics.
internal energy,nội năng,physics,thermodynamics,physics,,A term in thermodynamics within physics.,Thuật ngữ thuộc nhóm thermodynamics trong lĩnh vực physics.
pressure,áp suất,physics,thermodynamics,physics,,A term in thermodynamics within physics.,Thuật ngữ thuộc nhóm thermodynamics trong lĩnh vực physics.
volume,thể tích,physics,thermodynamics,physics,,A term in thermodynamics within physics.,Thuật ngữ thuộc nhóm thermodynamics trong lĩnh vực physics.
ideal gas,khí lý tưởng,physics,thermodynamics,physics,,A term in thermodynamics within physics.,Thuật ngữ thuộc nhóm thermodynamics trong lĩnh vực physics.
heat capacity,nhiệt dung,physics,thermodynamics,physics,,A term in thermodynamics within physics.,Thuật ngữ thuộc nhóm thermodynamics trong lĩnh vực physics.
specific heat,nhiệt dung riêng,physics,thermodynamics,physics,,A term in thermodynamics within physics.,Thuật ngữ thuộc nhóm thermodynamics trong lĩnh vực physics.
thermal conductivity,độ dẫn nhiệt,physics,thermodynamics,physics,,A term in thermodynamics within physics.,Thuật ngữ thuộc nhóm thermodynamics trong lĩnh vực physics.
phase transition,chuyển pha,physics,thermodynamics,physics,,A term in thermodynamics within physics.,Thuật ngữ thuộc nhóm thermodynamics trong lĩnh vực physics.
equilibrium,cân bằng,physics,thermodynamics,physics,,A term in thermodynamics within physics.,Thuật ngữ thuộc nhóm thermodynamics trong lĩnh vực physics.
first law of thermodynamics,định luật một nhiệt động lực học,physics,thermodynamics,physics,,A term in thermodynamics within physics.,Thuật ngữ thuộc nhóm thermodynamics trong lĩnh vực physics.
second law of thermodynamics,định luật hai nhiệt động lực học,physics,thermodynamics,physics,,A term in thermodynamics within physics.,Thuật ngữ thuộc nhóm thermodynamics trong lĩnh vực physics.
Carnot cycle,chu trình Carnot,physics,thermodynamics,physics,,A term in thermodynamics within physics.,Thuật ngữ thuộc nhóm thermodynamics trong lĩnh vực physics.
blackbody radiation,bức xạ vật đen,physics,thermodynamics,physics,,A term in thermodynamics within physics.,Thuật ngữ thuộc nhóm thermodynamics trong lĩnh vực physics.
quantum mechanics,cơ học lượng tử,physics,quantum_physics,physics,QM,A term in quantum physics within physics.,Thuật ngữ thuộc nhóm quantum physics trong lĩnh vực physics.
wave function,hàm sóng,physics,quantum_physics,physics,,A term in quantum physics within physics.,Thuật ngữ thuộc nhóm quantum physics trong lĩnh vực physics.
uncertainty principle,nguyên lý bất định,physics,quantum_physics,physics,,A term in quantum physics within physics.,Thuật ngữ thuộc nhóm quantum physics trong lĩnh vực physics.
superposition,chồng chập,physics,quantum_physics,physics,,A term in quantum physics within physics.,Thuật ngữ thuộc nhóm quantum physics trong lĩnh vực physics.
quantum state,trạng thái lượng tử,physics,quantum_physics,physics,,A term in quantum physics within physics.,Thuật ngữ thuộc nhóm quantum physics trong lĩnh vực physics.
eigenvalue,giá trị riêng,physics,quantum_physics,physics,,A term in quantum physics within physics.,Thuật ngữ thuộc nhóm quantum physics trong lĩnh vực physics.
eigenvector,vector riêng,physics,quantum_physics,physics,,A term in quantum physics within physics.,Thuật ngữ thuộc nhóm quantum physics trong lĩnh vực physics.
Hamiltonian,Hamiltonian,physics,quantum_physics,physics,,A term in quantum physics within physics.,Thuật ngữ thuộc nhóm quantum physics trong lĩnh vực physics.
Schrodinger equation,phương trình Schrodinger,physics,quantum_physics,physics,Schrödinger equation,A term in quantum physics within physics.,Thuật ngữ thuộc nhóm quantum physics trong lĩnh vực physics.
quantum entanglement,rối lượng tử,physics,quantum_physics,physics,,A term in quantum physics within physics.,Thuật ngữ thuộc nhóm quantum physics trong lĩnh vực physics.
spin,spin,physics,quantum_physics,physics,,A term in quantum physics within physics.,Thuật ngữ thuộc nhóm quantum physics trong lĩnh vực physics.
operator,toán tử,physics,quantum_physics,physics,,A term in quantum physics within physics.,Thuật ngữ thuộc nhóm quantum physics trong lĩnh vực physics.
measurement,phép đo,physics,quantum_physics,physics,,A term in quantum physics within physics.,Thuật ngữ thuộc nhóm quantum physics trong lĩnh vực physics.
probability amplitude,biên độ xác suất,physics,quantum_physics,physics,,A term in quantum physics within physics.,Thuật ngữ thuộc nhóm quantum physics trong lĩnh vực physics.
energy level,mức năng lượng,physics,quantum_physics,physics,,A term in quantum physics within physics.,Thuật ngữ thuộc nhóm quantum physics trong lĩnh vực physics.
solid state physics,vật lý chất rắn,physics,quantum_physics,physics,,A term in quantum physics within physics.,Thuật ngữ thuộc nhóm quantum physics trong lĩnh vực physics.
semiconductor,chất bán dẫn,physics,quantum_physics,physics,,A term in quantum physics within physics.,Thuật ngữ thuộc nhóm quantum physics trong lĩnh vực physics.
band gap,vùng cấm,physics,quantum_physics,physics,,A term in quantum physics within physics.,Thuật ngữ thuộc nhóm quantum physics trong lĩnh vực physics.
